"imdb_title_id","title","original_title","year","date_published","genre","duration","country","language_1","language_2","language_3","director","writer","actors","actors_1","actors_f2","description","desc35","avg_vote","votes","usa_gross_income","worlwide_gross_income","reviews_from_users","budget","profit"
"tt0884328","The Mist","The Mist",2007,"2008-10-10","Horror, Sci-Fi, Thriller",126,"USA","English","","","Frank Darabont","Frank Darabont, Stephen King","Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher, Toby Jones, William Sadler, Jeffrey DeMunn, Frances Sternhagen, Nathan Gamble, Alexa Davalos, Chris Owen, Sam Witwer, Robert C. Treveiler, David Jensen, Melissa McBride","Thomas Jane","Thomas Jane, Marcia Gay Harden","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.","A freak storm unleashes a species",7.1,275928,25.594957,57.47022,1195,18,39.47022
"tt0884732","Un testimone in affitto","The Wedding Ringer",2015,"2015-05-21","Comedy",101,"USA","English","Ukrainian","","Jeremy Garelick","Jeremy Garelick, Jay Lavender","Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco, Jorge Garcia, Dan Gill, Corey Holcomb, Ken Howard, Colin Kane, Cloris Leachman, Jenifer Lewis, Alan Ritchson, Mimi Rogers, Aaron Takahashi, Olivia Thirlby","Kevin Hart","Kevin Hart, Josh Gad","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.","Two weeks shy of his wedding,",6.6,69920,64.460211,79.79988,127,23,56.79988
"tt0887883","Burn After Reading - A prova di spia","Burn After Reading",2008,"2008-09-19","Comedy, Crime, Drama",96,"USA, UK, France","English","","","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","George Clooney, Frances McDormand, Brad Pitt, John Malkovich, Tilda Swinton, Richard Jenkins, Elizabeth Marvel, David Rasche, J.K. Simmons, Olek Krupa, Michael Countryman, Kevin Sussman, J.R. Horne, Hamilton Clancy, Armand Schultz","George Clooney","George Clooney, Frances McDormand","A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.","A disk containing mysterious information",7,304043,60.355347,163.728902,630,37,126.728902
"tt0887912","The Hurt Locker","The Hurt Locker",2008,"2008-10-10","Drama, Thriller, War",131,"USA","English","Arabic","","Kathryn Bigelow","Mark Boal","Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce, Ralph Fiennes, David Morse, Evangeline Lilly, Christian Camargo, Suhail Dabbach, Christopher Sayegh, Nabil Koni, Sam Spruell, Sam Redford, Feisal Sadoun, Barrie Rice","Jeremy Renner","Jeremy Renner, Anthony Mackie","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","During the Iraq War, a Sergeant",7.6,414225,17.017811,49.230772,977,15,34.230772
"tt0889573","Due cuori e una provetta","The Switch",2010,"2010-11-05","Comedy, Drama, Romance",101,"USA","English","","","Josh Gordon, Will Speck","Jeffrey Eugenides, Allan Loeb","Jason Bateman, Victor Pagan, Jennifer Aniston, Jeff Goldblum, Juliette Lewis, Todd Louiso, Scott Elrod, Patrick Wilson, Rebecca Naomi Jones, Kelli Barrett, Jeremy Mohler, Will Swenson, Edward James Hyland, Caroline Dhavernas, Brian Podnos","Jason Bateman","Jason Bateman, Victor Pagan","Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.","Seven years after the fact, a",6.1,95518,27.779426,49.843011,139,19,30.843011
"tt0891527","Leoni per agnelli","Lions for Lambs",2007,"2007-12-14","Crime, Drama, Mystery",92,"USA","English","","","Robert Redford","Matthew Michael Carnahan","Robert Redford, Meryl Streep, Tom Cruise, Michael Peña, Andrew Garfield, Peter Berg, Kevin Dunn, Derek Luke, Larry Bates, Christopher May, David Pease, Heidi Janson, Christopher Carley, George Back, Kristy Wu","Robert Redford","Robert Redford, Meryl Streep","Injuries sustained by two Army rangers behind enemy lines in Afghanistan set off a sequence of events involving a congressman, a journalist and a professor.","Injuries sustained by two Army",6.2,46840,15.002854,64.81154,308,35,29.81154
"tt0892318","Letters to Juliet","Letters to Juliet",2010,"2010-08-25","Adventure, Comedy, Drama",105,"USA","English","Italian","Spanish","Gary Winick","Jose Rivera, Tim Sullivan","Amanda Seyfried, Marcia DeBonis, Gael García Bernal, Giordano Formenti, Paolo Arvedi, Dario Conti, Ivana Lotito, Luisa Ranieri, Marina Massironi, Lidia Biondi, Milena Vukotic, Luisa De Santis, Christopher Egan, Vanessa Redgrave, Remo Remotti","Amanda Seyfried","Amanda Seyfried, Marcia DeBonis","Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".","Sophie dreams of becoming a writer",6.5,90637,53.032453,79.62883,182,30,49.62883
"tt0892769","Dragon Trainer","How to Train Your Dragon",2010,"2010-03-26","Animation, Action, Adventure",98,"USA","English","","","Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Robin Atkin Downes, Philip McGrade, Kieron Elliott, Ashley Jensen, David Tennant","Jay Baruchel","Jay Baruchel, Gerard Butler","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","A hapless young Viking who aspires",8.1,651499,217.581231,494.878759,634,165,329.878759
"tt0892782","Mostri contro alieni","Monsters vs. Aliens",2009,"2009-04-03","Animation, Action, Adventure",94,"USA","English","","","Rob Letterman, Conrad Vernon","Maya Forbes, Wallace Wolodarsky","Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett, Kiefer Sutherland, Rainn Wilson, Stephen Colbert, Paul Rudd, Julie White, Jeffrey Tambor, Amy Poehler, Ed Helms, Renée Zellweger, John Krasinski, Sean Bishop","Reese Witherspoon","Reese Witherspoon, Seth Rogen","A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.","A woman transformed into a giant",6.4,144198,198.351526,381.50987,210,175,206.50987
"tt0892791","Shrek e vissero felici e contenti","Shrek Forever After",2010,"2010-08-25","Animation, Adventure, Comedy",93,"USA","English","","","Mike Mitchell","Josh Klausner, Darren Lemke","Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, Jon Hamm, John Cleese, Walt Dohrn, Jane Lynch, Craig Robinson, Lake Bell, Kathy Griffin, Mary Kay Place, Kristen Schaal, Meredith Vieira","Mike Myers","Mike Myers, Eddie Murphy","Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.","Rumpelstiltskin tricks a mid-life",6.3,180304,238.736787,752.600867,213,165,587.600867
